Goal_Position_X, Goal_Position_Y, Goal_Position_Z, Effector_Position_X, Effector_Position_Y, Effector_Position_Z
-102.86077537619052, 5.353586555654102, 7.0, -100.08658304902636, 5.24739474667007, 6.347986543373671
-102.88625744042233, 4.839217902010762, 7.0, -100.15853089942496, 4.767696733931764, 6.359167962438531
-102.90916735357679, 4.3247282681719135, 7.0, -100.22679169684744, 4.286790669371511, 6.370747779808605
-102.92950454290725, 3.810130516351608, 7.0, -100.29134113658012, 3.8047233415768322, 6.382724487082809
-102.94726849998507, 3.2954375114668375, 7.0, -100.35215563674373, 3.3215420597046923, 6.395096450425922
-102.9624587807122, 2.7806621208159163, 7.0, -100.40921235285685, 2.8372946375686876, 6.407861910953335
-102.97507500533244, 2.2658172137568013, 7.0, -100.46248919204292, 2.3520293773168346, 6.421018985214476
-102.98511685844085, 1.7509156613853536, 7.0, -100.51196482683896, 1.8657950527831013, 6.434565665767081
-102.99258408899156, 1.2359703362135648, 7.0, -100.55761870861667, 1.3786408924721658, 6.448499821844356
-102.99747651030428, 0.720994111847744, 7.0, -100.59943108058562, 0.8906165622359146, 6.462819200112907
-102.99979400006866, 0.20599986266667875, 7.0, -100.63738299038411, 0.40177214761179253, 6.47752142552419
-102.99953650034763, -0.30899953650022394, 7.0, -100.6714563022289, -0.08784186411574274, 6.492604002252746
-102.99670401757864, -0.8239912106948079, 7.0, -100.70163370862987, -0.5781746021571562, 6.50806431472558
-102.9912966225736, -1.3389622851520406, 7.0, -100.72789874164833, -1.0691748307225726, 6.523899628738418
-102.98331445051713, -1.8538998856218822, 7.0, -100.7502357836938, -1.5607909677791942, 6.540107092657573
-102.97275770096311, -2.36879113869114, 7.0, -100.76863007785028, -2.0529711040515277, 6.556683738707151
-102.95962663782973, -2.883623172105306, 7.0, -100.78306773772422, -2.5456630222458454, 6.57362648433884
-102.94392158939287, -3.3983831150903576, 7.0, -100.79353575680383, -3.0388142164803806, 6.590932133684259
-102.92564294827794, -3.91305809867453, 7.0, -100.80002201732569, -3.532371911908975, 6.608597379085033
-102.90479117145001, -4.427635256010041, 7.0, -100.80251529863828, -4.026283084518971, 6.6266188027030815
-102.88136678020241, -4.9421017226947574, 7.0, -100.80100528506162, -4.520494481096299, 6.6449928782050645
-102.85537036014371, -5.456444637093807, 7.0, -100.79548257323032, -5.014952639325042, 6.663715972520209
-102.82680256118306, -5.9706511406611185, 7.0, -100.78593867892211, -5.509603908027703, 6.682784347673085
